monument,distance_km,trip_days,travelers,hotel_type,transport_mode,season,total_budget
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1711,2,5,Standard,Train,Monsoon,11924
Baori at Abhaneri,450,6,5,Standard,Train,Winter,34275
"Buddhist Remains on hill top at Guntupalli, W.G.District",658,9,4,Luxury,Train,Summer,68635
"Caves, Temples and inscriptions Karla",2036,3,4,Luxury,Bus,Summer,27548
Ancient Palace Leh,2435,8,1,Luxury,Bus,Summer,54176
"Buddhist Monuments, Sanchi",1684,7,4,Standard,Bus,Summer,30755
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1377,5,5,Luxury,Car,Summer,48174
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",1732,3,4,Standard,Bus,Monsoon,13755
Tughluqabad,303,3,6,Budget,Car,Summer,13773
Ancient Palace Leh,927,2,2,Standard,Car,Summer,13312
"Buddhish Caves, Junagadh",447,5,4,Luxury,Car,Summer,39219
Tirumalai Nayak's Palace Srivilliputhur,509,3,6,Luxury,Train,Winter,31928
"The palace situated in the fort, Burhanpur",2327,3,6,Luxury,Car,Winter,47700
"Fort on Rock, Dindigual",2381,1,5,Budget,Car,Monsoon,15862
"Western Group of Temples, Khajuraho",66,5,6,Luxury,Bus,Summer,40454
"Kolaba Fort, Alibag",351,5,7,Luxury,Bus,Monsoon,35253
"Asokan Rock Edict, Jungadh",177,2,1,Standard,Car,Winter,7579
"Asokan Rock Edict, Jungadh",1945,8,2,Luxury,Train,Monsoon,47242
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,204,2,2,Budget,Bus,Summer,5132
Hoshang Shah's Tomb,1550,7,2,Luxury,Train,Summer,49512
"Gupta Temple & Varah Temple, Deogarh",1579,7,1,Budget,Bus,Winter,14814
Nagarjuna Kunda,1021,3,7,Luxury,Train,Winter,35614
Buddhist Caves Kanheri,100,9,2,Luxury,Train,Summer,57229
Bellary Fort,2402,4,2,Standard,Car,Winter,33687
Sheikh Chilli's Tomb,2361,5,4,Budget,Car,Winter,34281
Bishnudol,96,3,7,Budget,Train,Winter,15497
Golconda,880,3,4,Standard,Car,Winter,21034
"Group of four MaidansCharaideo, Sibasagar",1903,7,7,Budget,Bus,Summer,32317
Ancient Site Bhangarh,562,2,6,Standard,Bus,Summer,12154
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1262,7,7,Budget,Train,Summer,31460
Rajarani Temple,203,3,5,Standard,Bus,Summer,14973
"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",1058,4,5,Standard,Train,Summer,20971
Suraj Kund,1362,5,7,Standard,Train,Winter,37761
Suraj Kund,1681,1,5,Budget,Car,Winter,16637
Ancient Palace Leh,2257,4,4,Standard,Car,Summer,32018
Sheikh Chilli's Tomb,1341,3,1,Budget,Train,Monsoon,7709
"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",2494,2,5,Luxury,Train,Monsoon,19329
Tomb of Rabia Durani (Bibi ka Maqbara),139,8,5,Standard,Train,Winter,42553
"Ranghar Pavillion, Jaisagar",666,7,4,Standard,Bus,Winter,35397
Ancient Remains on both Udaigiri & Khandagiri Hills,462,8,4,Budget,Bus,Summer,22226
"Avantiswamin Temple, Avantipur, District Pulwama",1942,9,3,Budget,Car,Winter,38945
Kondiote Caves,1737,7,6,Budget,Bus,Monsoon,24104
"Bekal Fort, Pallikkare, Distt. Kasargod",2314,3,1,Standard,Bus,Summer,12401
Aurangabad Caves,1953,9,6,Budget,Car,Monsoon,35912
Suraj Kund,445,9,3,Budget,Car,Winter,26995
Ancient Palace Leh,900,5,5,Luxury,Bus,Monsoon,33882
Group of Monuments (WH) Pattadakal,1217,9,7,Budget,Bus,Winter,45883
Nagarjuna Kunda,683,5,3,Luxury,Bus,Monsoon,30265
Rajarani Temple,1003,1,5,Standard,Car,Winter,14089
"Palace Complex at Ramnagar, Distt. Udhampur",1267,5,5,Budget,Train,Monsoon,16961
Jantar Mantar,1906,6,4,Budget,Car,Monsoon,22738
"Badal Mahal Gatwway, Chanderi",1205,4,6,Luxury,Car,Summer,40718
"Cave Temple & Inscriptions, Bhaja",763,3,7,Standard,Car,Summer,20857
Kumbhalgarh Fort,1131,4,4,Budget,Car,Summer,19312
Taj Mahal,2484,9,7,Budget,Bus,Summer,41367
"Group of four MaidansCharaideo, Sibasagar",183,5,6,Budget,Car,Summer,19836
Excavated Remains at sarnath,2144,9,1,Standard,Car,Monsoon,31823
"Group of four MaidansCharaideo, Sibasagar",520,9,3,Standard,Train,Summer,33757
Ancient Site Bhangarh,1421,4,2,Standard,Train,Summer,16379
Undavalli caves,1631,3,5,Standard,Train,Monsoon,14728
Bir Singh Palace Datia,1994,2,2,Standard,Train,Monsoon,10569
Mariam tomb Sikandra,1065,1,6,Budget,Train,Monsoon,5201
Residency Building,902,9,6,Luxury,Car,Summer,80027
Gawilgarh Fort,2202,3,7,Budget,Bus,Monsoon,13470
"Janjira Fort, Murd",1718,6,3,Budget,Car,Summer,25456
Pandulena Caves,1218,5,6,Budget,Train,Summer,20999
Akbar Tomb Sikandra,1519,1,1,Standard,Car,Monsoon,9785
Upper Fort Aguada,820,2,4,Budget,Train,Summer,8305
"Group of Monuments, Hampi",2498,7,7,Budget,Bus,Winter,39221
Ancient Remains on both Udaigiri & Khandagiri Hills,484,7,6,Standard,Train,Winter,41414
Daulatabad Fort,1408,3,7,Standard,Bus,Winter,23274
Ajanta Caves,1069,7,2,Luxury,Bus,Summer,47137
Ancient Site of Vikramshila Antichak,187,8,1,Standard,Bus,Summer,21406
Itimad-ud-Daulah-Tomb,2150,2,5,Standard,Car,Monsoon,19855
"Ranghar Pavillion, Jaisagar",2208,9,7,Luxury,Car,Monsoon,75770
"Buddhist Remains on hill top at Guntupalli, W.G.District",949,8,4,Budget,Car,Monsoon,22340
"Kolaba Fort, Alibag",721,2,5,Standard,Car,Monsoon,12175
Mariam tomb Sikandra,1539,6,5,Standard,Bus,Summer,29347
Piprahwa & Ganwaria,2443,2,1,Standard,Train,Summer,14617
"Rudabai Step Well, Adalaj",2346,9,6,Luxury,Train,Monsoon,66374
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",386,4,1,Budget,Car,Summer,8872
Bir Singh Palace Datia,688,8,6,Standard,Train,Monsoon,32884
"Ancient site of Vaishali, Kolhua",414,8,3,Luxury,Car,Monsoon,47063
Qutub Minar,1824,2,2,Standard,Car,Monsoon,15197
Charminar,534,7,1,Budget,Car,Winter,15972
Kumbhalgarh Fort,586,1,5,Budget,Train,Monsoon,3604
Jantar Mantar,1219,4,7,Standard,Train,Monsoon,21640
Ahom Raja's Palace,1591,4,2,Standard,Car,Monsoon,18817
Warangal,1362,5,6,Budget,Train,Winter,27027
Purana Qila,2447,8,7,Budget,Car,Monsoon,38645
"Moovarkoil, Kodumbalur",1113,5,4,Luxury,Train,Winter,47097
Ancient Remains on both Udaigiri & Khandagiri Hills,53,6,6,Budget,Train,Winter,25502
Fortress and Temple Chitrudurga Fort,1514,2,7,Luxury,Train,Monsoon,17569
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1718,6,2,Standard,Car,Summer,29679
Ahom Raja's Palace,2237,1,2,Standard,Train,Summer,11709
"Group of Temples at kiramchi, District Udhampur",2076,3,1,Standard,Train,Winter,17106
"Avantiswamin Temple, Avantipur, District Pulwama",2269,2,5,Standard,Bus,Monsoon,12190
"Rudabai Step Well, Adalaj",2044,8,6,Luxury,Car,Winter,93411
"Western Group of Temples, Khajuraho",1654,2,6,Budget,Car,Summer,19239
Rajarani Temple,1620,1,6,Budget,Car,Summer,14794
Kalinjar Fort,1901,3,5,Budget,Bus,Monsoon,11653
Ruins of Buddhist Temples and Images lalitgiri,181,9,5,Standard,Bus,Winter,46955
"Rani Ki-Vav, Patan",1368,8,6,Luxury,Bus,Winter,81794
"Bekal Fort, Pallikkare, Distt. Kasargod",624,1,1,Budget,Bus,Monsoon,1975
Group of Monuments (WH) Pattadakal,2201,3,7,Luxury,Train,Winter,38971
"Ruined Fort, kangra",1252,8,2,Luxury,Car,Summer,59945
"The palace situated in the fort, Burhanpur",1170,5,3,Luxury,Bus,Winter,42927
Buddhist Caves Kanheri,1907,5,3,Standard,Bus,Winter,25953
Undavalli caves,864,4,5,Luxury,Bus,Summer,33210
Bir Singh Palace Datia,2421,2,3,Luxury,Car,Monsoon,25458
Fort Vattakottai,843,5,4,Luxury,Train,Winter,46448
"The palace situated in the fort, Burhanpur",761,7,7,Standard,Train,Monsoon,31959
Undavalli caves,1034,1,7,Luxury,Bus,Summer,12047
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,653,9,6,Luxury,Bus,Winter,88986
Roopmati's Pavilion,1480,1,6,Budget,Bus,Winter,9043
"Group of Monuments, Hampi",1904,6,7,Luxury,Car,Summer,64830
Group of Monuments (WH) Pattadakal,251,4,1,Budget,Train,Summer,7264
Cooch Bihar Palace,2341,9,2,Luxury,Train,Winter,78305
"Cave Temple & Inscriptions, Bhaja",988,3,6,Budget,Car,Winter,21100
Aga  Khan Palace Building,1234,1,5,Luxury,Car,Winter,18780
"Kareghar of Ahom Kings, Sibasagar",1542,1,7,Budget,Bus,Summer,6829
Upper Fort Aguada,391,8,1,Luxury,Bus,Summer,48699
Baori at Abhaneri,1001,3,6,Standard,Bus,Summer,16480
"Fort on Rock, Dindigual",2115,1,6,Luxury,Car,Winter,25700
Ahom Raja's Palace,2211,6,3,Luxury,Bus,Summer,45168
Sultanghari Tomb,849,3,6,Standard,Bus,Monsoon,12732
"Rock-cut Jain Temple, Sittannavasasl",1251,7,5,Budget,Bus,Monsoon,21019
"Rani Ki-Vav, Patan",1337,2,3,Standard,Train,Monsoon,10574
Nagarjuna Kunda,872,2,7,Standard,Car,Summer,15795
Elephanta Caves,196,3,4,Budget,Train,Winter,11434
Bir Singh Palace Datia,1989,2,3,Luxury,Car,Summer,26901
"Palace Complex at Ramnagar, Distt. Udhampur",1126,3,4,Standard,Train,Summer,15638
Golconda,2156,7,1,Standard,Car,Summer,32564
Mausoleum,286,9,7,Budget,Train,Winter,43883
Akbar Tomb Sikandra,491,2,7,Budget,Car,Winter,13748
Ancient Palace Leh,2139,4,1,Standard,Train,Summer,18648
Ancient Site Bhangarh,637,7,5,Standard,Train,Summer,32258
"Group of Monuments, Hampi",695,8,2,Budget,Bus,Summer,15393
"Avantiswamin Temple, Avantipur, District Pulwama",1758,1,2,Budget,Train,Winter,9907
Hazarduari Palace,179,6,3,Budget,Car,Summer,15026
"Ranghar Pavillion, Jaisagar",843,5,3,Luxury,Bus,Monsoon,29493
"Gol Gumbaz, Vijayapura",147,7,7,Standard,Train,Summer,38110
Tirumalai Nayak's Palace Srivilliputhur,1835,4,7,Luxury,Car,Monsoon,39131
Jantar Mantar,2076,2,1,Standard,Train,Summer,11532
"Group of monument, Royal Palace Mandu",1090,1,1,Budget,Car,Winter,9476
Hoshang Shah's Tomb,180,2,5,Luxury,Train,Winter,19157
Piprahwa & Ganwaria,2372,5,4,Luxury,Car,Summer,52241
Lord Cornwallis Tomb,379,9,7,Budget,Car,Winter,46081
Pandulena Caves,1849,5,1,Luxury,Bus,Winter,40272
"Fort, Palakkad, Palakkad",1162,9,5,Standard,Car,Winter,56292
"Fort St. Angelo, Kannur",299,7,6,Luxury,Bus,Monsoon,46564
"Ranghar Pavillion, Jaisagar",1571,7,5,Standard,Car,Winter,48414
Sultanghari Tomb,1346,8,3,Budget,Train,Monsoon,18108
Hauzkhas,88,8,1,Budget,Train,Summer,11600
Rani Jhansi Fort,542,2,7,Luxury,Train,Winter,22196
"Gupta Temple & Varah Temple, Deogarh",1347,3,3,Luxury,Train,Summer,25192
Fortress and Temple Chitrudurga Fort,294,9,4,Luxury,Bus,Winter,78299
Sultanghari Tomb,389,5,1,Standard,Bus,Monsoon,12222
Nagarjuna Kunda,425,2,4,Standard,Train,Summer,10340
"Rudabai Step Well, Adalaj",448,1,1,Luxury,Train,Summer,6808
Deeg Bhawan,759,7,7,Standard,Car,Winter,50858
"Jaina & Vaishnava Cave, Badami",821,8,4,Budget,Car,Winter,31637
Safdarjung Tomb,275,9,2,Budget,Bus,Winter,19083
Golconda,1846,6,7,Luxury,Bus,Summer,55993
Excavated Remains at sarnath,1963,1,5,Luxury,Train,Monsoon,11559
Daulatabad Fort,2159,1,3,Luxury,Train,Summer,14417
Chittaurgarh Fort,2080,9,1,Standard,Bus,Winter,34168
Red Fort,1001,3,3,Budget,Bus,Monsoon,7391
Rajarani Temple,219,9,7,Budget,Bus,Monsoon,29778
Deeg Bhawan,1024,6,3,Budget,Train,Winter,19436
Buddhist Caves,1761,5,5,Budget,Train,Summer,20764
Fortress and Temple Chitrudurga Fort,2446,3,2,Luxury,Train,Monsoon,23530
Tirumalai Nayak's Palace Srivilliputhur,1335,8,3,Budget,Car,Monsoon,21694
"Gupta Temple & Varah Temple, Deogarh",412,9,5,Standard,Car,Monsoon,34315
Ram Bagh,2230,9,3,Luxury,Car,Winter,90741
Qutub Minar,1624,2,4,Standard,Train,Summer,14156
Hoshang Shah's Tomb,2035,1,1,Budget,Car,Winter,17522
Aga  Khan Palace Building,2462,3,6,Luxury,Train,Monsoon,26482
Cooch Bihar Palace,1485,5,5,Standard,Train,Monsoon,21470
Lord Cornwallis Tomb,967,1,2,Standard,Bus,Winter,6017
Golconda,2307,2,6,Luxury,Bus,Monsoon,17992
Chittaurgarh Fort,1080,1,6,Luxury,Car,Monsoon,12220
Bellary Fort,2056,2,6,Standard,Bus,Summer,14655
Undavalli caves,88,7,5,Budget,Car,Winter,27266
Aurangabad Caves,1612,3,1,Standard,Bus,Summer,11098
Sheikh Chilli's Tomb,133,6,3,Budget,Bus,Monsoon,11839
Taj Mahal,619,6,7,Standard,Bus,Monsoon,28159
"Fort, Palakkad, Palakkad",841,2,7,Luxury,Train,Summer,20945
"Kolaba Fort, Alibag",569,2,4,Luxury,Car,Summer,18564
mattancherry Palace Museum Kochi,427,3,4,Standard,Car,Summer,14761
Lord Cornwallis Tomb,1309,4,4,Budget,Train,Summer,15164
Cooch Bihar Palace,1063,5,5,Standard,Car,Summer,29065
"Rani Ki-Vav, Patan",323,2,6,Luxury,Car,Winter,22716
Residency Building,1374,9,1,Standard,Bus,Monsoon,21396
Aga  Khan Palace Building,1626,1,4,Budget,Train,Monsoon,6411
"Gol Gumbaz, Vijayapura",1159,4,1,Standard,Train,Summer,13715
Tirumalai Nayak's Palace Srivilliputhur,1818,1,5,Standard,Train,Monsoon,7971
Sultanghari Tomb,139,2,7,Standard,Train,Monsoon,8712
"Western Group of Temples, Khajuraho",1945,3,3,Standard,Bus,Winter,18023
Sultanghari Tomb,2320,9,2,Standard,Train,Winter,41308
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,2104,4,4,Standard,Train,Winter,26724
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,564,9,4,Standard,Train,Monsoon,30929
Piprahwa & Ganwaria,2184,9,5,Luxury,Train,Monsoon,63456
Suraj Kund,734,8,5,Luxury,Bus,Monsoon,51278
Durga temple complex Aihole,2039,2,3,Standard,Bus,Summer,11937
Excavated Remains at Nalanda,1787,3,3,Budget,Bus,Winter,13818
Lohgad Fort,952,1,6,Budget,Car,Winter,11931
mattancherry Palace Museum Kochi,453,5,4,Standard,Train,Summer,21570
Kondiote Caves,1323,5,2,Standard,Car,Winter,28840
Itimad-ud-Daulah-Tomb,344,3,3,Standard,Train,Summer,12316
Excavated Remains at Nalanda,579,8,5,Luxury,Bus,Monsoon,51505
Mehtab Bagh,2197,7,2,Standard,Train,Winter,33812
Buddhist Caves,602,6,4,Budget,Car,Winter,23308
Aurangabad Caves,179,7,6,Budget,Car,Summer,25178
Metcelf-Hall,1302,5,7,Budget,Bus,Monsoon,19139
"Moovarkoil, Kodumbalur",679,9,1,Budget,Car,Summer,16003
Hazarduari Palace,2053,9,3,Budget,Car,Summer,33906
"Western Group of Temples, Khajuraho",1705,8,4,Luxury,Car,Winter,81948
"Kareghar of Ahom Kings, Sibasagar",2431,2,1,Luxury,Bus,Winter,20546
Taj Mahal,2216,3,6,Budget,Bus,Monsoon,12734
Piprahwa & Ganwaria,539,4,5,Standard,Car,Monsoon,16705
"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",1258,7,7,Luxury,Car,Winter,81100
"The palace situated in the fort, Burhanpur",2248,4,2,Standard,Car,Winter,32848
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1064,8,5,Standard,Bus,Monsoon,30070
"Natural Caven with inscription eladipattam, Sittannavasal",2408,7,2,Luxury,Train,Winter,61674
"Fort St. Angelo, Kannur",352,8,1,Luxury,Bus,Winter,58452
Tirumalai Nayak's Palace Srivilliputhur,1360,5,5,Budget,Train,Winter,24137
Cooch Bihar Palace,1658,1,1,Budget,Bus,Summer,6077
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,538,4,2,Budget,Train,Winter,11475
Khan-I-Khana,68,6,2,Standard,Bus,Summer,19261
Pandulena Caves,1438,1,6,Standard,Car,Summer,14384
Chandragiri Monument,760,5,3,Budget,Bus,Summer,12306
"Fort Museum, Thirumayam",2013,6,2,Luxury,Car,Winter,61304
"Sun Temple, Konark",1011,9,3,Budget,Train,Winter,27185
"Group of four MaidansCharaideo, Sibasagar",1227,9,4,Budget,Train,Summer,28113
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1813,7,6,Standard,Train,Monsoon,32311
Tomb of Lal Khan,456,7,7,Budget,Car,Summer,31886
Durga temple complex Aihole,373,5,5,Standard,Car,Winter,29656
Chittaurgarh Fort,1013,5,4,Standard,Car,Summer,26565
"Fort Museum, Thirumayam",1721,4,6,Standard,Train,Summer,24957
Ancient Site of Vikramshila Antichak,2187,9,6,Luxury,Car,Monsoon,72150
"Sun Temple, Konark",1112,7,7,Budget,Train,Summer,31016
Fort Vattakottai,1157,4,6,Luxury,Train,Summer,36903
Golconda,1758,7,6,Standard,Bus,Winter,45243
"Palace Complex at Ramnagar, Distt. Udhampur",570,8,2,Budget,Bus,Winter,18095
"Western Group of Temples, Khajuraho",908,5,4,Standard,Car,Monsoon,21598
"Cave, Temple and Inscriptions, Junaar, Lenyadri",195,3,4,Standard,Bus,Monsoon,9582
"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",1634,3,4,Standard,Bus,Monsoon,12591
Buddhist Caves,1037,7,3,Standard,Bus,Winter,32306
Agra Fort,1393,3,7,Budget,Train,Monsoon,14328
Upper Fort Aguada,1048,8,4,Standard,Car,Winter,46129
"Buddhist Monuments, Sanchi",2385,7,5,Standard,Bus,Summer,37076
Excavated Remains at Nalanda,122,8,1,Luxury,Train,Summer,48250
"Gupta Temple & Varah Temple, Deogarh",1005,5,4,Luxury,Bus,Winter,46638
"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",116,6,4,Budget,Train,Monsoon,12884
"Champaner Monuments, Pavagadh",1203,7,4,Standard,Train,Summer,32845
Gawilgarh Fort,1544,4,6,Standard,Bus,Summer,23586
"Moovarkoil, Kodumbalur",1066,7,2,Standard,Train,Summer,24461
"Buddhist Remains on hill top at Guntupalli, W.G.District",706,8,4,Luxury,Train,Summer,61041
Raigad Fort,679,5,4,Budget,Bus,Winter,16903
Aurangabad Caves,505,7,1,Budget,Train,Winter,12787
Nagarjuna Kunda,530,7,2,Budget,Train,Summer,13739
Agra Fort,2060,9,1,Budget,Car,Monsoon,21317
"Ibrahim Rauza, Bijapur",311,3,6,Luxury,Car,Winter,32014
Sheikh Chilli's Tomb,293,1,2,Standard,Train,Summer,5202
Temple of Laxman and Old sites including sculptures sirpur,997,9,7,Budget,Car,Winter,50144
"Ancient site of Vaishali, Kolhua",1861,2,2,Budget,Train,Summer,9243
"Gol Gumbaz, Vijayapura",1362,4,7,Standard,Bus,Winter,28226
"Gol Gumbaz, Vijayapura",287,4,3,Luxury,Bus,Winter,33424
Undavalli caves,1013,9,7,Budget,Bus,Monsoon,31098
Excavated Remains at sarnath,1731,6,5,Luxury,Train,Winter,61823
"Moovarkoil, Kodumbalur",1590,3,2,Standard,Bus,Winter,14825
Residency Building,739,8,7,Budget,Car,Monsoon,31108
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",198,9,4,Standard,Train,Monsoon,29226
Ellora Caves,449,1,4,Luxury,Bus,Summer,8959
Deeg Bhawan,869,4,4,Standard,Car,Winter,25974
Bishnudol,1647,3,7,Luxury,Train,Winter,36687
Buddhist Caves Kanheri,559,7,2,Standard,Car,Summer,24824
Ajanta Caves,1961,7,5,Budget,Bus,Summer,25445
Daulatabad Fort,2070,4,1,Luxury,Bus,Monsoon,23138
"Jaina & Vaishnava Cave, Badami",1841,7,5,Standard,Train,Winter,44556
Purana Qila,643,8,3,Budget,Bus,Summer,19789
"Buddhist Monuments, Sanchi",2118,1,1,Budget,Bus,Summer,5437
"Ancient site of Vaishali, Kolhua",621,1,2,Standard,Train,Summer,5766
"Natural Caven with inscription eladipattam, Sittannavasal",825,6,1,Luxury,Bus,Monsoon,30770
"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",1489,1,7,Budget,Bus,Summer,6651
Gwalior Fort,457,3,1,Budget,Bus,Winter,7208
Safdarjung Tomb,1724,4,7,Luxury,Car,Monsoon,37198
Durga temple complex Aihole,1334,5,6,Standard,Train,Winter,34838
Purana Qila,1296,8,1,Budget,Train,Monsoon,12354
"Western Group of Temples, Khajuraho",1877,4,6,Budget,Bus,Summer,17916
Charminar,239,2,2,Budget,Car,Winter,5787
"Gupta Temple & Varah Temple, Deogarh",1766,2,3,Standard,Car,Summer,18960
Dariya Daulath Bagh,895,9,2,Standard,Train,Summer,31198
"Rock-cut Jain Temple, Sittannavasasl",735,1,5,Luxury,Train,Winter,13010
Hoshang Shah's Tomb,829,9,7,Standard,Bus,Summer,49694
Kumbhalgarh Fort,1977,8,6,Luxury,Car,Monsoon,63480
Buddhist Caves Kanheri,711,9,6,Budget,Bus,Winter,39447
"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",262,4,3,Standard,Car,Monsoon,13634
Aga  Khan Palace Building,1117,6,3,Budget,Bus,Summer,15682
Fatehpur Sikri,752,6,3,Luxury,Bus,Winter,51535
Hauzkhas,1354,5,7,Standard,Train,Summer,32097
Mariam tomb Sikandra,564,1,4,Luxury,Train,Winter,11683
Site of Sahet mahet,1478,7,3,Luxury,Train,Summer,52058
"Gupta Temple & Varah Temple, Deogarh",1466,4,4,Standard,Train,Winter,24140
"Gol Gumbaz, Vijayapura",2306,9,2,Budget,Bus,Monsoon,18315
"Champaner Monuments, Pavagadh",1174,4,7,Budget,Train,Winter,22914
Buddhist Caves,1542,6,7,Budget,Train,Winter,34424
Akbar Tomb Sikandra,237,9,5,Budget,Car,Monsoon,23744
Kalinjar Fort,385,7,4,Standard,Train,Winter,34244
Keshava Temple,1951,3,6,Budget,Train,Winter,20475
"Group of four MaidansCharaideo, Sibasagar",917,3,5,Standard,Car,Summer,19788
Cooch Bihar Palace,1701,1,3,Luxury,Car,Monsoon,15883
Upper Fort Aguada,1886,1,1,Standard,Car,Monsoon,12012
Bir Singh Palace Datia,2175,7,1,Standard,Bus,Summer,23094
Palace of Tipu Sultan,187,2,3,Budget,Car,Summer,6849
Upper Fort Aguada,2078,6,1,Luxury,Bus,Monsoon,32926
"Fort Museum, Thirumayam",971,3,5,Budget,Bus,Summer,11622
"Sun Temple, Konark",753,5,4,Standard,Train,Winter,26468
Hoshang Shah's Tomb,1059,3,1,Budget,Train,Summer,7989
Keshava Temple,237,9,7,Budget,Bus,Winter,43557
Hauzkhas,667,6,4,Luxury,Car,Monsoon,39754
Kalinjar Fort,681,6,7,Standard,Bus,Summer,33089
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",890,4,3,Standard,Train,Monsoon,14657
Tomb of Lal Khan,2293,2,1,Luxury,Car,Winter,31953
Chandragiri Monument,2051,8,3,Luxury,Car,Summer,68875
Golconda,945,9,5,Standard,Bus,Winter,50251
Excavated Remains at Nalanda,1803,5,1,Luxury,Car,Summer,41781
Ancient Palace Leh,1981,9,5,Budget,Bus,Winter,37928
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,2424,6,7,Budget,Bus,Summer,28994
Gawilgarh Fort,2125,9,7,Standard,Bus,Summer,53158
Gawilgarh Fort,902,5,2,Standard,Bus,Winter,20776
Gawilgarh Fort,1953,3,5,Luxury,Train,Monsoon,25402
"The palace situated in the fort, Burhanpur",2029,3,3,Luxury,Bus,Monsoon,19938
Excavated Remains at sarnath,1227,4,6,Standard,Car,Summer,26866
Bishnudol,831,9,2,Standard,Bus,Monsoon,23510
Excavated Remains at Nalanda,2041,1,2,Luxury,Train,Monsoon,11459
"Bekal Fort, Pallikkare, Distt. Kasargod",2476,2,3,Luxury,Bus,Monsoon,15664
Piprahwa & Ganwaria,57,8,4,Budget,Bus,Summer,21670
"Ibrahim Rauza, Bijapur",954,8,2,Standard,Train,Winter,33004
Ellora Caves,2484,3,3,Standard,Car,Winter,32173
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1064,8,5,Luxury,Bus,Winter,75921
Safdarjung Tomb,1831,3,1,Luxury,Train,Monsoon,19832
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",624,7,5,Budget,Train,Summer,24134
Akbar Tomb Sikandra,973,6,2,Luxury,Car,Monsoon,37507
Group of Monuments Mamallapuram,1610,3,1,Budget,Train,Winter,11754
